method,pixel_noise_sigma_px,height_gt_mm,xy_p95_budget_mm,minimum_success_rate,max_feasible_motion_tier,max_feasible_motion_scenario,max_translation_mm,max_rotation_deg
FrozenExtrinsicPnP,0.1,0.0,10.0,0.99,1,S1_small,5.0,0.5
FrozenExtrinsicPnP,0.1,10.0,2.0,0.99,-1,none,nan,nan
FrozenExtrinsicPnP,0.1,10.0,5.0,0.99,0,S0_nominal,0.0,0.0
FrozenExtrinsicPnP,0.1,10.0,10.0,0.99,1,S1_small,5.0,0.5
FrozenExtrinsicPnP,0.1,25.0,2.0,0.99,-1,none,nan,nan
FrozenExtrinsicPnP,0.1,25.0,5.0,0.99,0,S0_nominal,0.0,0.0
FrozenExtrinsicPnP,0.1,25.0,10.0,0.99,1,S1_small,5.0,0.5
FrozenExtrinsicPnP,0.1,50.0,2.0,0.99,-1,none,nan,nan
FrozenExtrinsicPnP,0.1,50.0,5.0,0.99,0,S0_nominal,0.0,0.0
FrozenExtrinsicPnP,0.1,50.0,10.0,0.99,1,S1_small,5.0,0.5
FrozenExtrinsicPnP,0.5,0.0,2.0,0.99,-1,none,nan,nan
FrozenExtrinsicPnP,0.5,0.0,5.0,0.99,-1,none,nan,nan
FrozenExtrinsicPnP,0.5,0.0,10.0,0.99,-1,none,nan,nan
FrozenExtrinsicPnP,0.5,10.0,2.0,0.99,-1,none,nan,nan
FrozenExtrinsicPnP,0.5,10.0,5.0,0.99,-1,none,nan,nan
FrozenExtrinsicPnP,0.5,10.0,10.0,0.99,-1,none,nan,nan
FrozenExtrinsicPnP,0.5,25.0,2.0,0.99,-1,none,nan,nan
FrozenExtrinsicPnP,0.5,25.0,5.0,0.99,-1,none,nan,nan
FrozenExtrinsicPnP,0.5,25.0,10.0,0.99,-1,none,nan,nan
FrozenExtrinsicPnP,0.5,50.0,2.0,0.99,-1,none,nan,nan
FrozenExtrinsicPnP,0.5,50.0,5.0,0.99,-1,none,nan,nan
FrozenExtrinsicPnP,0.5,50.0,10.0,0.99,-1,none,nan,nan
FrozenExtrinsicPnP,1.0,0.0,2.0,0.99,-1,none,nan,nan
FrozenExtrinsicPnP,1.0,0.0,5.0,0.99,-1,none,nan,nan
FrozenExtrinsicPnP,1.0,0.0,10.0,0.99,-1,none,nan,nan
FrozenExtrinsicPnP,1.0,10.0,2.0,0.99,-1,none,nan,nan
FrozenExtrinsicPnP,1.0,10.0,5.0,0.99,-1,none,nan,nan
FrozenExtrinsicPnP,1.0,10.0,10.0,0.99,-1,none,nan,nan
FrozenExtrinsicPnP,1.0,25.0,2.0,0.99,-1,none,nan,nan
FrozenExtrinsicPnP,1.0,25.0,5.0,0.99,-1,none,nan,nan
FrozenExtrinsicPnP,1.0,25.0,10.0,0.99,-1,none,nan,nan
FrozenExtrinsicPnP,1.0,50.0,2.0,0.99,-1,none,nan,nan
FrozenExtrinsicPnP,1.0,50.0,5.0,0.99,-1,none,nan,nan
FrozenExtrinsicPnP,1.0,50.0,10.0,0.99,-1,none,nan,nan
RelocalizedPnP,0.1,0.0,2.0,0.99,-1,none,nan,nan
RelocalizedPnP,0.1,0.0,5.0,0.99,3,S3_large,30.0,5.0
RelocalizedPnP,0.1,0.0,10.0,0.99,3,S3_large,30.0,5.0
RelocalizedPnP,0.1,10.0,2.0,0.99,-1,none,nan,nan
RelocalizedPnP,0.1,10.0,5.0,0.99,3,S3_large,30.0,5.0
RelocalizedPnP,0.1,10.0,10.0,0.99,3,S3_large,30.0,5.0
RelocalizedPnP,0.1,25.0,2.0,0.99,-1,none,nan,nan
RelocalizedPnP,0.1,25.0,5.0,0.99,3,S3_large,30.0,5.0
RelocalizedPnP,0.1,25.0,10.0,0.99,3,S3_large,30.0,5.0
RelocalizedPnP,0.1,50.0,2.0,0.99,-1,none,nan,nan
RelocalizedPnP,0.1,50.0,5.0,0.99,3,S3_large,30.0,5.0
RelocalizedPnP,0.1,50.0,10.0,0.99,3,S3_large,30.0,5.0
RelocalizedPnP,0.5,0.0,2.0,0.99,-1,none,nan,nan
RelocalizedPnP,0.5,0.0,5.0,0.99,-1,none,nan,nan
RelocalizedPnP,0.5,0.0,10.0,0.99,-1,none,nan,nan
RelocalizedPnP,0.5,10.0,2.0,0.99,-1,none,nan,nan
RelocalizedPnP,0.5,10.0,5.0,0.99,-1,none,nan,nan
RelocalizedPnP,0.5,10.0,10.0,0.99,-1,none,nan,nan
RelocalizedPnP,0.5,25.0,2.0,0.99,-1,none,nan,nan
RelocalizedPnP,0.5,25.0,5.0,0.99,-1,none,nan,nan
RelocalizedPnP,0.5,25.0,10.0,0.99,-1,none,nan,nan
RelocalizedPnP,0.5,50.0,2.0,0.99,-1,none,nan,nan
RelocalizedPnP,0.5,50.0,5.0,0.99,-1,none,nan,nan
RelocalizedPnP,0.5,50.0,10.0,0.99,-1,none,nan,nan
RelocalizedPnP,1.0,0.0,2.0,0.99,-1,none,nan,nan
RelocalizedPnP,1.0,0.0,5.0,0.99,-1,none,nan,nan
RelocalizedPnP,1.0,0.0,10.0,0.99,-1,none,nan,nan
RelocalizedPnP,1.0,10.0,2.0,0.99,-1,none,nan,nan
RelocalizedPnP,1.0,10.0,5.0,0.99,-1,none,nan,nan
RelocalizedPnP,1.0,10.0,10.0,0.99,-1,none,nan,nan
RelocalizedPnP,1.0,25.0,2.0,0.99,-1,none,nan,nan
RelocalizedPnP,1.0,25.0,5.0,0.99,-1,none,nan,nan
RelocalizedPnP,1.0,25.0,10.0,0.99,-1,none,nan,nan
RelocalizedPnP,1.0,50.0,2.0,0.99,-1,none,nan,nan
RelocalizedPnP,1.0,50.0,5.0,0.99,-1,none,nan,nan
RelocalizedPnP,1.0,50.0,10.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,0.1,0.0,2.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,0.1,0.0,5.0,0.99,3,S3_large,30.0,5.0
OracleMotionAwarePnP,0.1,0.0,10.0,0.99,3,S3_large,30.0,5.0
OracleMotionAwarePnP,0.1,10.0,2.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,0.1,10.0,5.0,0.99,3,S3_large,30.0,5.0
OracleMotionAwarePnP,0.1,10.0,10.0,0.99,3,S3_large,30.0,5.0
OracleMotionAwarePnP,0.1,25.0,2.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,0.1,25.0,5.0,0.99,3,S3_large,30.0,5.0
OracleMotionAwarePnP,0.1,25.0,10.0,0.99,3,S3_large,30.0,5.0
OracleMotionAwarePnP,0.1,50.0,2.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,0.1,50.0,5.0,0.99,3,S3_large,30.0,5.0
OracleMotionAwarePnP,0.1,50.0,10.0,0.99,3,S3_large,30.0,5.0
OracleMotionAwarePnP,0.5,0.0,2.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,0.5,0.0,5.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,0.5,0.0,10.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,0.5,10.0,2.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,0.5,10.0,5.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,0.5,10.0,10.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,0.5,25.0,2.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,0.5,25.0,5.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,0.5,25.0,10.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,0.5,50.0,2.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,0.5,50.0,5.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,0.5,50.0,10.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,1.0,0.0,2.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,1.0,0.0,5.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,1.0,0.0,10.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,1.0,10.0,2.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,1.0,10.0,5.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,1.0,10.0,10.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,1.0,25.0,2.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,1.0,25.0,5.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,1.0,25.0,10.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,1.0,50.0,2.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,1.0,50.0,5.0,0.99,-1,none,nan,nan
OracleMotionAwarePnP,1.0,50.0,10.0,0.99,-1,none,nan,nan
